Y,170:00:00:000,que_wm,out_field_1,wm,9
Y,170:00:00:000,wm,out_field_1,top,9
X,170:00:00:000,top,in_done,f1,9
Y,183:00:00:000,f3,out_water_field,top,3
Y,183:00:00:000,f3,out_water_surface,top,300
Y,183:00:00:000,f3,out_water_type,top,1
X,183:00:00:000,top,in_field,wm,3
X,183:00:00:000,top,in_surface,wm,300
X,183:00:00:000,top,in_type,wm,1
X,183:00:00:000,wm,in_field,que_wm,3
X,183:00:00:000,wm,in_surface,que_wm,300
X,183:00:00:000,wm,in_type,que_wm,1
Y,183:00:00:000,que_wm,out_id,wm,10
Y,183:00:00:000,que_wm,out_surface,wm,300
Y,183:00:00:000,que_wm,out_type,wm,1
X,183:00:00:000,wm,in_id,irrigator,10
X,183:00:00:000,wm,in_surface,irrigator,300
X,183:00:00:000,wm,in_type,irrigator,1
Y,194:00:00:000,f1,out_water_field,top,1
Y,194:00:00:000,f1,out_water_surface,top,100
Y,194:00:00:000,f1,out_water_type,top,2
X,194:00:00:000,top,in_field,wm,1
X,194:00:00:000,top,in_surface,wm,100
X,194:00:00:000,top,in_type,wm,2
X,194:00:00:000,wm,in_field,que_wm,1
X,194:00:00:000,wm,in_surface,que_wm,100
X,194:00:00:000,wm,in_type,que_wm,2
Y,198:00:00:000,irrigator,out_id,wm,10
X,198:00:00:000,wm,in_done,que_wm,10
Y,198:00:00:000,que_wm,out_field_3,wm,10
Y,198:00:00:000,que_wm,out_id,wm,11
Y,198:00:00:000,que_wm,out_surface,wm,100
Y,198:00:00:000,que_wm,out_type,wm,2
Y,198:00:00:000,wm,out_field_3,top,10
X,198:00:00:000,wm,in_id,irrigator,11
X,198:00:00:000,wm,in_surface,irrigator,100
X,198:00:00:000,wm,in_type,irrigator,2
X,198:00:00:000,top,in_done,f3,10
Y,203:00:00:000,irrigator,out_id,wm,11
X,203:00:00:000,wm,in_done,que_wm,11
Y,203:00:00:000,que_wm,out_field_1,wm,11
Y,203:00:00:000,wm,out_field_1,top,11
X,203:00:00:000,top,in_done,f1,11
Y,224:00:00:000,f2,out_water_field,top,2
Y,224:00:00:000,f2,out_water_surface,top,200
Y,224:00:00:000,f2,out_water_type,top,3
X,224:00:00:000,top,in_field,wm,2
X,224:00:00:000,top,in_surface,wm,200
X,224:00:00:000,top,in_type,wm,3
X,224:00:00:000,wm,in_field,que_wm,2
X,224:00:00:000,wm,in_surface,que_wm,200
X,224:00:00:000,wm,in_type,que_wm,3
Y,224:00:00:000,que_wm,out_id,wm,12
Y,224:00:00:000,que_wm,out_surface,wm,200
Y,224:00:00:000,que_wm,out_type,wm,3
X,224:00:00:000,wm,in_id,irrigator,12
X,224:00:00:000,wm,in_surface,irrigator,200
X,224:00:00:000,wm,in_type,irrigator,3
Y,227:00:00:000,f1,out_water_field,top,1
Y,227:00:00:000,f1,out_water_surface,top,100
Y,227:00:00:000,f1,out_water_type,top,2
X,227:00:00:000,top,in_field,wm,1
X,227:00:00:000,top,in_surface,wm,100
X,227:00:00:000,top,in_type,wm,2
X,227:00:00:000,wm,in_field,que_wm,1
X,227:00:00:000,wm,in_surface,que_wm,100
X,227:00:00:000,wm,in_type,que_wm,2
Y,234:00:00:000,irrigator,out_id,wm,12
X,234:00:00:000,wm,in_done,que_wm,12
Y,234:00:00:000,que_wm,out_field_2,wm,12
Y,234:00:00:000,que_wm,out_id,wm,13
Y,234:00:00:000,que_wm,out_surface,wm,100
Y,234:00:00:000,que_wm,out_type,wm,2
Y,234:00:00:000,wm,out_field_2,top,12
X,234:00:00:000,wm,in_id,irrigator,13
X,234:00:00:000,wm,in_surface,irrigator,100
X,234:00:00:000,wm,in_type,irrigator,2
X,234:00:00:000,top,in_done,f2,12
Y,239:00:00:000,irrigator,out_id,wm,13
X,239:00:00:000,wm,in_done,que_wm,13
Y,239:00:00:000,que_wm,out_field_1,wm,13
Y,239:00:00:000,wm,out_field_1,top,13
X,239:00:00:000,top,in_done,f1,13
Y,246:00:00:000,f3,out_water_field,top,3
Y,246:00:00:000,f3,out_water_surface,top,300
Y,246:00:00:000,f3,out_water_type,top,1
X,246:00:00:000,top,in_field,wm,3
X,246:00:00:000,top,in_surface,wm,300
X,246:00:00:000,top,in_type,wm,1
X,246:00:00:000,wm,in_field,que_wm,3
X,246:00:00:000,wm,in_surface,que_wm,300
X,246:00:00:000,wm,in_type,que_wm,1
Y,246:00:00:000,que_wm,out_id,wm,14
Y,246:00:00:000,que_wm,out_surface,wm,300
Y,246:00:00:000,que_wm,out_type,wm,1
X,246:00:00:000,wm,in_id,irrigator,14
X,246:00:00:000,wm,in_surface,irrigator,300
X,246:00:00:000,wm,in_type,irrigator,1
Y,261:00:00:000,irrigator,out_id,wm,14
X,261:00:00:000,wm,in_done,que_wm,14
Y,261:00:00:000,que_wm,out_field_3,wm,14
Y,261:00:00:000,wm,out_field_3,top,14
X,261:00:00:000,top,in_done,f3,14
Y,263:00:00:000,f1,out_water_field,top,1
Y,263:00:00:000,f1,out_water_surface,top,100
Y,263:00:00:000,f1,out_water_type,top,2
X,263:00:00:000,top,in_field,wm,1
X,263:00:00:000,top,in_surface,wm,100
